Galaxy,SSP Best Mass,Calz Best Mass,Tau Best Mass,DTau Best Mass,SSP Up Unc,Cal Up Unc,Tau Up Unc,DTau Up Unc,SSP Lo Unc,Cal Lo Unc,tau Lo Unc,dtau lo unc,SSP 16th %,Cal 16th %,Tau 16th %,DTau 16th %,SSP 50th %,cal 50th %,tau 50th %,dtau 50th %,SSP 84th %,cal 84th %,tau 84th %,dtau 84th %
J0826,0.05,1.65,0.36,0.66,0.07,0.12,0.32,0.38,0.04,1.59,0.18,0.29,0.01264659,0.060171079,0.185092971,0.363740134,0.050311863,1.653716683,0.362377122,0.655008644,0.119113334,1.768807292,0.684201837,1.032845736
J0901,0.09,0.06,0.73,1.18,0.09,0.06,0.36,0.43,0.06,0.04,0.38,0.52,0.025327103,0.016522878,0.351282895,0.662445652,0.085483119,0.055101966,0.728918612,1.179785013,0.177337623,0.118939216,1.088480353,1.610548973
J0905,0.62,1.38,0.9,1.47,0.37,0.26,0.49,0.4,0.59,1.36,0.31,0.48,0.029478009,0.023447761,0.595777524,0.994854391,0.615847945,1.378556371,0.903308988,1.469971836,0.985623717,1.641580105,1.396539807,1.872734189
J0944,0.33,0.24,0.87,1.04,0.14,0.1,0.3,0.36,0.14,0.1,0.19,0.23,0.188079116,0.140834048,0.675324357,0.814717054,0.32997492,0.239674836,0.86612314,1.044668972,0.469883978,0.335566252,1.169493675,1.402305841
J1107,0.04,0.03,0.35,0.79,0.06,0.04,0.39,0.46,0.03,0.02,0.22,0.43,0.010324002,0.007407534,0.129118016,0.360703439,0.042236092,0.029293033,0.3479276,0.792769015,0.103605992,0.071088225,0.740180135,1.251339436
J1219,0.41,0.26,1.61,1.69,0.17,0.13,0.26,0.22,0.17,0.13,0.25,0.42,0.243330583,0.138408169,1.357478261,1.27513051,0.414785832,0.263656721,1.608137965,1.693094611,0.581725764,0.393178225,1.870399475,1.914724684
J1341,0.07,0.14,1.04,1.11,0.35,0.31,0.5,0.44,0.06,0.13,0.47,0.49,0.008398717,0.00812771,0.573612452,0.619704878,0.066990457,0.137778655,1.043573737,1.11433059,0.413667244,0.445021439,1.546888351,1.557329297
J1506,0.11,0.05,0.26,0.48,0.46,0.37,0.24,0.39,0.1,0.04,0.19,0.33,0.013480509,0.007874387,0.07518577,0.147233003,0.114614725,0.051733792,0.264446661,0.477341533,0.57258414,0.421348059,0.503166282,0.863943696
J1558,0.06,0.04,0.44,0.58,0.08,0.06,0.18,0.23,0.04,0.03,0.15,0.17,0.016607987,0.01118019,0.289093494,0.408961833,0.061345953,0.043276288,0.439156204,0.57646364,0.139960727,0.101778075,0.614857674,0.80354811
J1613,0.86,0.59,1.49,1.61,0.18,0.15,0.3,0.24,0.26,0.18,0.2,0.2,0.595845342,0.412068158,1.289911294,1.414697051,0.860196114,0.587876678,1.486442506,1.614867568,1.044972324,0.73361764,1.790081859,1.854586601
J2116,0.88,0.05,1.56,1.67,0.5,0.07,0.31,0.23,0.81,0.03,0.41,0.33,0.067220233,0.012283907,1.149706483,1.345159531,0.878334284,0.047065487,1.558417439,1.674474001,1.373858523,0.114436246,1.870115161,1.906963444
J2140,0.32,0.21,1.64,1.77,0.17,0.11,0.27,0.16,0.16,0.11,0.69,0.33,0.165787756,0.106664866,0.954780281,1.444536042,0.322058827,0.213738598,1.64494586,1.774655402,0.494074374,0.328126752,1.915505219,1.935372043